topic_id,category_id,post_count,avg_score
102209,19,1,417.6
102219,21,5,450.52
102226,7,32,733.55
102248,19,1,26.0
102256,7,1,2266.2
102298,19,1,86.4
102300,7,15,663.3599999999999
102386,19,11,939.9090909090909
102395,19,21,2543.9428571428566
102425,7,1,474.4
102440,7,1,9890.4
102444,19,1,60.8
102461,19,35,14087.845714285717
10250,7,5,36.440000000000005
102518,7,6,3316.0
10254,7,3,64.26666666666667
102551,7,2,109.0
10255,8,5,109.40000000000002
102605,8,6,1005.8333333333331
102622,7,2,32.1
102633,19,4,196.45
102648,21,3,32.46666666666667
102696,19,2,471.8
102697,7,3,150.06666666666666
10269,8,4,927.45
102715,21,4,371.30000000000007
102722,19,2,86.3
102759,7,6,717.2666666666665
102764,8,1,668.6
1027,21,6,669.9
102829,19,6,55.93333333333334
102839,7,1,73.4
10284,7,6,3860.3333333333335
102852,7,50,4733.052000000001
102854,7,4,99.0
102862,21,1,173.2
102863,7,9,268.44444444444446
102866,7,15,166.11999999999995
102868,7,19,5086.305263157894
102894,14,1,1198.2
102896,7,3,150.46666666666667
102905,7,1,1153.4
102909,7,6,352.09999999999997
102910,19,57,342.1719298245613
102919,7,3,1262.3999999999999
102929,7,1,58.2
102939,7,4,427.7
102947,7,2,109.6
102979,19,2,1657.4
102983,7,3,1169.2
102990,7,3,694.8666666666667
102993,7,13,908.0615384615387
103002,21,4,276.55
103024,7,5,4369.120000000001
103029,21,4,142.29999999999998
103041,7,3,348.6000000000001
103047,19,4,43.1
103061,19,10,108.44000000000003
103094,7,3,5662.733333333334
103096,7,2,1160.1000000000001
103111,19,1,276.2
103121,8,42,1133.0142857142862
103128,19,1,951.6
103141,8,2,371.5
103143,8,4,1552.0
103144,7,1,326.8
103150,7,7,2158.657142857143
103152,7,3,341.40000000000003
103163,7,2,1007.3000000000001
103167,7,4,18.65
103213,7,5,322.64
103220,19,1,507.0
103223,19,3,282.6
103225,19,42,3025.6285714285714
103272,19,5,141.32
103277,7,2,215.5
103296,19,13,21486.43076923077
103307,19,1,97.4
103338,7,26,138.93846153846155
10333,7,3,1030.8666666666666
103340,7,1,95.6
10338,8,4,625.1999999999999
103429,7,5,52.11999999999999
103475,8,5,749.3599999999999
103479,19,1,256.4
103480,7,1,423.4
103520,19,17,1663.1529411764707
103588,14,6,897.0
103614,19,2,23.4
103655,7,3,10486.466666666667
103657,19,15,371.18666666666667
103668,19,7,983.0571428571427
103696,7,10,2079.96
1036,7,9,448.4222222222222
103717,7,30,5421.680000000002
103721,7,3,1344.1333333333334
103722,19,1,243.4
103730,7,9,484.7333333333333
103737,21,3,101.60000000000001
103773,19,2,3718.5
103787,7,7,5480.5142857142855
103850,7,6,393.70000000000005
103866,21,11,63.16363636363637
103880,7,1,566.6
10389,7,2,18.8
103913,7,1,2277.2
10391,8,2,117.10000000000001
103927,7,1,148.2
10395,7,4,1072.05
10397,7,3,142.4
104032,7,2,817.6999999999999
104084,7,3,941.1999999999999
104120,7,6,375.66666666666674
